stop_lon,stop_name,stop_lat,stop_id,location_type,parent_station
-0.2289623,Light House,5.5864284,SA5026530816,1,
-0.2245083,Access Bank,5.5842414,SA5026530818,1,
-0.2233723,Ashfoam,5.5788208,SA5026530819,1,
-0.1304779,Caterpillar,5.6642946,SA5064974034,1,
-0.1316844,Container,5.6609541,SA5064974035,1,
-0.1323593,Zion,5.6591631,SA5064974036,1,
-0.2068106,College,5.5834895,SA5005030175,1,
-0.2181246,Abelenkpe,5.6077936,5092884387,0,SA5092806453
-0.1273401,Obinim,5.6728844,SA5064974031,1,
-0.1280233,Morocco,5.6710266,SA5064974032,1,
-0.1284549,Salaam,5.6697928,SA5064974033,1,
-0.3148611,Container,5.7387931,5064078031,0,SA5064078031
-0.2554957,Mampong,5.6006069,3154450964,0,SA3154441074
-0.1299728,Otanor Bus Stop,5.6533403,SA5064974038,1,
-0.1292395,Adjiringanor Second Curve,5.6517077,SA5064974039,1,
-0.1953423,18,5.6409982,4981090381,0,SA4981090381
-0.1637852,Apapa,5.5673541,SA5037452745,1,
-0.2091548,Kotobabi Down (Polo Park),5.5958908,5039895708,0,SA5039895708
-0.2089615,Kotobabi Market,5.5931302,5039895709,0,SA5039895709
-0.2981518,Hotel Junction,5.6325733,5051365821,0,SA5051365821
-0.2088698,Accra New Town Taxi Station,5.5815197,4999883667,0,SA4999883667
-0.2262307,Abofu,5.6136996,5116094292,0,SA2917277220
-0.2282694,Zoti,5.5468906,SA5093166185,1,
-0.2308875,Estate,5.5525572,SA5093166186,1,
-0.2891894,Presby,5.6344043,SA5041783469,1,
-0.1282944,Roundabout,5.5944969,5029108941,0,SA5029108941
-0.2691131,Israel Station,5.6314315,SA5041783464,1,
-0.2748051,Kyeiwaa Junction,5.6311641,SA5041783465,1,
-0.2203081,Achimota Police Station Curve,5.6213604,SA5035725207,1,
-0.2232387,Seconds,5.552669,5082619900,0,SA5082619900
-0.2609076,Borlaso,5.6091429,SA5041783463,1,
-0.2701335,Christ Mission,5.5949636,5041550697,0,SA5041513176
-0.1741114,Accra Mall Roundabout,5.6210178,4992365322,0,SA3045917870
-0.1201955,Printex,5.6402316,4992365327,0,SA4990644987
-0.1265736,Manet,5.637739,4992365326,0,SA4990644989
-0.200338,Club 1000,5.596089,5036738899,0,SA5036738899
-0.2286456,Abrantie,5.5987672,SA4994957020,1,
-0.204254,Kotobabi Police Station,5.5923915,5036738897,0,SA5036738897
-0.205397,Taxi Rank,5.592146,5036738896,0,SA5005030169
-0.0820821,Washing Bay,5.6260281,4992365329,0,SA4992365329
-0.1130497,Junction Wise,5.6431455,4992365328,0,SA4990644984
-0.2074167,Master Chef,5.588822,5036738893,0,SA5036738893
-0.2074913,Agbadinar,5.5882485,5036738892,0,SA5036738892
-0.1803082,37 Last Stop,5.588576,SA4982950469,1,
-0.1746373,Giffard Road,5.5873592,SA4982950468,1,
-0.2684291,Kwashieman Junction,5.5927011,5043094924,0,SA5010113615
-0.2182036,Abelenkpe,5.6078237,5092806453,0,SA5092806453
-0.3148611,Container,5.7387931,SA5064078031,1,
-0.3213518,Samsam,5.7539328,SA5064078030,1,
-0.2018332,Kanda,5.5728472,5026460153,0,SA5026460153
-0.2263827,STC,5.5640063,5035473843,0,SA5035473843
-0.2235948,Rana Motors,5.5596173,5035473842,0,SA5035473842
-0.2222051,Cold store,5.5569473,5035473841,0,SA5035473841
-0.2146609,Gate,5.5526127,5035473840,0,SA5035473840
-0.2354587,School Junction,5.5808675,5035473847,0,SA5035473847
-0.2467136,Pentecost,5.5444578,5045353358,0,SA5045353358
-0.2306175,Roundabout,5.5719333,5035473845,0,SA4995193052
-0.2281886,Awudome,5.5691974,5035473844,0,SA5035473844
-0.2475634,Bridge,5.5427919,5045353355,0,SA5045353355
-0.2484715,Curve,5.5427609,5045353354,0,SA5045353354
-0.2421474,Asoredanho,5.5862426,5035473849,0,SA5035412449
-0.2470342,Toilets,5.5428374,5045353356,0,SA5045353356
-0.2502034,Second,5.5452532,5045353351,0,SA5045353351
-0.251688,Masalaachi,5.5452372,5045353350,0,SA5045353350
-0.2488941,Container,5.5439896,5045353353,0,SA5045353353
-0.192666,GBC,5.5735046,4286153107,0,SA4286153107
-0.2277118,Picadilly,5.5782628,5026151277,0,SA5026151277
-0.227965,Dance Bar,5.5768543,5026151276,0,SA5026070133
-0.2292535,Ga Mantse,5.5755871,5026151275,0,SA5026151275
-0.2312885,Mother's Inn,5.5733506,5026151274,0,SA5026151274
-0.2324171,Big Boss,5.5709225,5026151273,0,SA5026151273
-0.2329568,Fire Armour,5.5704179,5026151272,0,SA5026151272
-0.2371277,CMB Flats,5.5896592,5026151271,0,SA5026070128
-0.2354671,Meridian Chemist,5.5876822,5026151270,0,SA5026070130
-0.3336736,Oduman,5.6398963,5084325654,0,SA5084325654
-0.2166102,Caprice,5.5844613,5037296279,0,SA4990070161
-0.3314719,Mangoase,5.6377213,5084325656,0,SA5084325656
-0.3283749,Paradise,5.635304,5084325657,0,SA5084325657
-0.3448599,Junction,5.6430676,5084325650,0,SA5084325650
-0.3413544,Alavanyo,5.6426378,5084325651,0,SA5084325651
-0.3389308,Nuumo Tse,5.6421026,5084325652,0,SA5084325652
-0.3365596,Twibleoo,5.6416207,5084325653,0,SA5084325653
-0.1716389,Madina,5.6766804,SA5005343801,1,
-0.2063247,Masalaachi Nima,5.5809249,SA5115688029,1,
-0.3419747,Akotoshi No 2,5.7500941,5064189138,0,SA5064189138
-0.2657017,Cold Store,5.5794279,SA5000176412,1,
-0.267294,Busia Junction,5.5787991,SA5000176413,1,
-0.270218,Thirteen,5.5676156,SA5000176416,1,
-0.2687496,Ave Maria,5.5653597,SA5000176417,1,
-0.1778309,Presec,5.6625534,5005343802,0,SA4997374750
-0.2712174,Dela,5.5705158,SA5000176415,1,
-0.2652062,Oxygen (o2),5.5612607,SA5000176418,1,
-0.2651201,St. Martin Depores,5.5597816,SA5000176419,1,
-0.2159004,Caprice Juntion,5.5812521,5037296277,0,SA5024785675
-0.2250924,Marwako,5.6121782,5116094291,0,SA5036784357
-0.2223709,Vulcanizer,5.612659,5116094290,0,SA5116094290
-0.2376331,Presby,5.6995104,SA5035532959,1,
-0.2364412,School junction,5.701623,SA5035532958,1,
-0.1737787,Madina Zongo Junction,5.6753566,4997071023,0,SA4997071023
-0.2443053,Methodist,5.5349275,5114018829,0,SA4997810037
-0.2354245,Dome /Ashongman Estates,5.702369,SA5035532957,1,
-0.2480149,New Fadama,5.6000091,5026329347,0,SA5026329347
-0.281594,Agbodji,5.7180034,5024322021,0,SA5024322021
-0.2830991,Alosa,5.7160821,5024322022,0,SA5024322022
-0.2079485,Teachers Hall,5.5576823,5033861588,0,SA5033861588
-0.1516424,A&C Mall,5.64208,5109596751,0,SA5109596751
-0.2868885,Thank You Jesus,5.70851,5024322025,0,SA5024322025
-0.2855397,Quarters Junction,5.6982578,5024322026,0,SA5024322026
-0.2864658,Pokuase Agric,5.6962488,5024322027,0,SA5024322027
-0.2118153,Atta Quarshie,5.5415023,SA5102779997,1,
-0.2506849,Vulcanizer,5.6378257,5024322029,0,SA5024322029
-0.206208,Paloma,5.5717215,4184924189,0,SA4184924189
-0.2164893,London Market,5.5383722,SA5102779994,1,
-0.2090679,Salaga Market,5.5397822,SA5025334219,1,
-0.2435292,Block Factory junction,5.5581545,5082993460,0,SA5082993460
-0.2444151,Seven great junction,5.5583181,5082993461,0,SA5082993461
-0.2035456,Sea Theatre,5.6114863,5047020126,0,SA5047020126
-0.2194154,Circle Industrial Area,5.5692159,5014716654,0,SA5014716654
-0.1942666,Pawpaw,5.6857636,5113124888,0,SA5113124888
-0.2690475,Isreal Station,5.6311823,5040597422,0,SA5040597422
-0.2109272,2nd curve,5.6419199,SA5036565837,1,
-0.2094225,Gimpa Junction,5.6389743,SA5036565836,1,
-0.2077138,Clinic/ police container,5.6571738,5036565843,0,SA5036565843
-0.2374214,Akwetteyman Zongo,5.6157915,5079127711,0,SA5079127711
-0.2402639,Akweteman Zongo (Last Stop),5.6139918,5079127710,0,SA5079127710
-0.2335977,Kopevi,5.6145674,5079127713,0,SA5079127713
-0.2349652,Adwenpa,5.6149544,5079127712,0,SA5079127712
-0.140608,Labadi Beach,5.5639367,5054694245,0,SA5054694245
-0.2105643,Bridge,5.6451381,SA5036565839,1,
-0.2099649,1st curve,5.6426671,SA5036565838,1,
-0.075648,18 Junction,5.6605594,SA5007828434,1,
-0.2048637,Accra Bishop,5.5437448,5088471612,0,SA5023072580
-0.2444914,Libirio,5.5556737,SA5124622923,1,
-0.2362111,Abossey Okai,5.5575921,SA5124622922,1,
-0.1276876,First Gate,5.5675279,5054694243,0,SA5054694243
-0.2052667,Barrier,5.6621855,5036565847,0,SA5036565847
-0.2300155,Add a name to the stop with JungleBus app,5.5506876,SA5025315234,1,
-0.2730303,Dansoman (SSNIT flats),5.5624236,5087182231,0,SA5087182231
-0.1410868,Goil,5.5796773,5010786351,0,SA5010786351
-0.1416891,Watermelon Junction,5.5826903,5010786350,0,SA5010786350
-0.1450121,Zenith,5.5735155,5010786353,0,SA5010786353
-0.1388741,Container,5.5752918,5010786352,0,SA5010786352
-0.1502083,Kpogas,5.5731197,5010786355,0,SA5010786355
-0.1464964,AMA,5.5744905,5010786354,0,SA5010786354
-0.1884134,Police Headquarters,5.5712673,5026390735,0,SA5004961001
-0.2156498,Palledium,5.5420116,5082971645,0,SA5082971645
-0.1992497,GSL,5.6170769,5064991458,0,SA4997071029
-0.2438616,First Light,5.5662598,4996743221,0,SA4989358232
-0.2306941,Kaneshie Polyclinic,5.5742633,SA4995193053,1,
-0.1760971,Shangrila,5.6160691,SA4974194650,1,
-0.2044956,Bridge,5.6719874,5113124892,0,SA5113124892
-0.2054838,Pentecost,5.669582,5113124893,0,SA5113124893
-0.202063,Afari Gyan,5.679525,5113124890,0,SA5113124890
-0.2027893,Sam J,5.6772438,5113124891,0,SA5113124891
-0.2051017,Barrier,5.6623168,5113124896,0,SA5036565847
-0.2075698,Police Container,5.6573176,5113124897,0,SA5113124897
-0.2072412,Bridge (Ashongman last stop),5.7007568,5113195638,0,SA5113195638
-0.2104408,Ashongman,5.7033142,5113195639,0,SA5113124877
-0.1978871,Agbogba,5.691174,5113195636,0,SA5113124883
-0.2048955,Islamic,5.698154,5113195637,0,SA5113195637
-0.2083344,Brainy School Junction,5.6547708,5113124898,0,SA5113124898
-0.1946137,God's way,5.6873424,5113195635,0,SA5113124887
-0.2020717,Afari Gyan,5.6798372,5113195632,0,SA5113124890
-0.2018815,ECOMOG,5.6805749,5113195633,0,SA5113124889
-0.2031894,Manmay,5.6761342,5113195630,0,SA5113195630
-0.202835,Sam J,5.6773361,5113195631,0,SA5113124891
-0.1345711,Adjringanor/Otanor,5.6467785,5058537126,0,SA5020282543
-0.2372213,Dome,5.6451553,SA5011901716,1,
-0.2717255,Agya Herbal,5.6726545,5010252535,0,SA5010252535
-0.2139608,Accra,5.5524011,5058537129,0,SA5035412454
-0.2736519,Mamponse,5.52768,4997810026,0,SA4997810026
-0.1825848,Danquah,5.566987,SA5004960999,1,
-0.2683841,Point 6,5.528276,4997810028,0,SA4997810028
-0.2659963,Atomic,5.527639,4997810029,0,SA4997810029
-0.2163592,Agbogbloshie,5.5499675,5022942961,0,SA5022942961
-0.2874057,Awoshie Last stop,5.5915677,5034303933,0,SA5034253899
-0.2285933,Bongo bar,5.5737721,5049610382,0,SA5049610382
-0.2185294,Neoplan,5.5687336,5022354473,0,SA4992783156
-0.198887,Roman Ridge 2nd,5.601804,30778854,0,SA30778854
-0.2618326,Tabora Junction,5.6190946,5040372066,0,SA5024610764
-0.2611454,Tabora Lighthouse,5.6170737,5040372065,0,SA5024610765
-0.2607778,Scorpion,5.6158918,5040372064,0,SA5024610766
-0.2609955,Tabora Number 6,5.6126547,5040372063,0,SA5024610767
-0.2611812,Tabora Number 5,5.6108185,5040372062,0,SA5024610768
-0.2346815,Mangoase,5.5802879,SA5026603972,1,
-0.2589156,Tabora Number 3,5.607101,5040372060,0,SA4983237012
-0.2619251,Alhaji Curve,5.6265972,5040372069,0,SA5024610759
-0.2617002,Star Junction,5.6225122,5040372068,0,SA5024610762
-0.0757699,18 Junction,5.6608784,5116037043,0,SA5007828434
-0.1525381,Palm Wine,5.5764716,SA4400503928,1,
-0.1764479,Spanner,5.6197016,5116037041,0,SA4150793105
-0.1832173,National Service,5.6097243,5116037040,0,SA5115955264
-0.2476417,IBE (Camara),5.5355811,5025334220,0,SA5025315899
-0.1965863,Gutter,5.5884974,5028942309,0,SA5028866873
