trip_id,start_time,end_time,headway_secs,exact_times
344,05:00:00,22:00:00,600,0
0,05:00:00,22:00:00,300,0
346,05:00:00,22:00:00,2700,0
347,05:00:00,22:00:00,2700,0
340,05:00:00,22:00:00,300,0
341,05:00:00,22:00:00,300,0
342,05:00:00,22:00:00,1200,0
343,05:00:00,22:00:00,1200,0
348,05:00:00,22:00:00,1800,0
349,05:00:00,22:00:00,1800,0
298,05:00:00,22:00:00,2100,0
299,05:00:00,22:00:00,2100,0
296,05:00:00,22:00:00,300,0
297,05:00:00,22:00:00,300,0
294,05:00:00,22:00:00,600,0
295,05:00:00,22:00:00,600,0
292,05:00:00,22:00:00,1500,0
293,05:00:00,22:00:00,1500,0
290,05:00:00,22:00:00,60,0
291,05:00:00,22:00:00,60,0
199,05:00:00,22:00:00,180,0
198,05:00:00,22:00:00,180,0
195,05:00:00,22:00:00,1800,0
194,05:00:00,22:00:00,1800,0
197,05:00:00,22:00:00,1800,0
196,05:00:00,22:00:00,1800,0
191,05:00:00,22:00:00,480,0
190,05:00:00,22:00:00,480,0
193,05:00:00,22:00:00,1200,0
192,05:00:00,22:00:00,1200,0
270,05:00:00,22:00:00,1200,0
271,05:00:00,22:00:00,1200,0
272,05:00:00,22:00:00,1800,0
273,05:00:00,22:00:00,1800,0
274,05:00:00,22:00:00,1800,0
275,05:00:00,22:00:00,1800,0
276,05:00:00,22:00:00,2700,0
277,05:00:00,22:00:00,2700,0
278,05:00:00,22:00:00,1200,0
279,05:00:00,22:00:00,1200,0
524,05:00:00,22:00:00,3000,0
525,05:00:00,22:00:00,3000,0
526,05:00:00,22:00:00,2700,0
527,05:00:00,22:00:00,2700,0
520,05:00:00,22:00:00,900,0
521,05:00:00,22:00:00,900,0
522,05:00:00,22:00:00,2700,0
523,05:00:00,22:00:00,2700,0
528,05:00:00,22:00:00,1200,0
529,05:00:00,22:00:00,1200,0
449,05:00:00,22:00:00,1200,0
448,05:00:00,22:00:00,1200,0
443,05:00:00,22:00:00,600,0
442,05:00:00,22:00:00,600,0
441,05:00:00,22:00:00,1800,0
440,05:00:00,22:00:00,1800,0
447,05:00:00,22:00:00,420,0
446,05:00:00,22:00:00,420,0
445,05:00:00,22:00:00,600,0
444,05:00:00,22:00:00,600,0
108,05:00:00,22:00:00,300,0
109,05:00:00,22:00:00,300,0
102,05:00:00,22:00:00,300,0
103,05:00:00,22:00:00,300,0
100,05:00:00,22:00:00,600,0
101,05:00:00,22:00:00,600,0
106,05:00:00,22:00:00,480,0
107,05:00:00,22:00:00,480,0
104,05:00:00,22:00:00,300,0
105,05:00:00,22:00:00,300,0
39,05:00:00,22:00:00,900,0
38,05:00:00,22:00:00,900,0
33,05:00:00,22:00:00,1800,0
32,05:00:00,22:00:00,1800,0
31,05:00:00,22:00:00,600,0
30,05:00:00,22:00:00,600,0
37,05:00:00,22:00:00,600,0
36,05:00:00,22:00:00,600,0
35,05:00:00,22:00:00,1200,0
34,05:00:00,22:00:00,1200,0
438,05:00:00,22:00:00,600,0
439,05:00:00,22:00:00,600,0
436,05:00:00,22:00:00,2700,0
437,05:00:00,22:00:00,2700,0
434,05:00:00,22:00:00,900,0
435,05:00:00,22:00:00,900,0
432,05:00:00,22:00:00,300,0
433,05:00:00,22:00:00,300,0
430,05:00:00,22:00:00,600,0
431,05:00:00,22:00:00,600,0
339,05:00:00,22:00:00,3600,0
338,05:00:00,22:00:00,3600,0
335,05:00:00,22:00:00,900,0
334,05:00:00,22:00:00,900,0
337,05:00:00,22:00:00,900,0
336,05:00:00,22:00:00,900,0
331,05:00:00,22:00:00,600,0
330,05:00:00,22:00:00,600,0
333,05:00:00,22:00:00,300,0
332,05:00:00,22:00:00,300,0
345,05:00:00,22:00:00,600,0
6,05:00:00,22:00:00,1800,0
99,05:00:00,22:00:00,300,0
98,05:00:00,22:00:00,300,0
91,05:00:00,22:00:00,300,0
90,05:00:00,22:00:00,300,0
93,05:00:00,22:00:00,300,0
92,05:00:00,22:00:00,300,0
95,05:00:00,22:00:00,300,0
94,05:00:00,22:00:00,300,0
97,05:00:00,22:00:00,2400,0
96,05:00:00,22:00:00,2400,0
551,05:00:00,22:00:00,900,0
550,05:00:00,22:00:00,900,0
553,05:00:00,22:00:00,480,0
552,05:00:00,22:00:00,480,0
238,05:00:00,22:00:00,1800,0
239,05:00:00,22:00:00,1800,0
234,05:00:00,22:00:00,1500,0
235,05:00:00,22:00:00,1500,0
236,05:00:00,22:00:00,600,0
237,05:00:00,22:00:00,600,0
230,05:00:00,22:00:00,1200,0
231,05:00:00,22:00:00,1200,0
232,05:00:00,22:00:00,1500,0
233,05:00:00,22:00:00,1500,0
1,05:00:00,22:00:00,300,0
146,05:00:00,22:00:00,900,0
147,05:00:00,22:00:00,900,0
144,05:00:00,22:00:00,1200,0
145,05:00:00,22:00:00,1200,0
142,05:00:00,22:00:00,2400,0
143,05:00:00,22:00:00,2400,0
140,05:00:00,22:00:00,600,0
141,05:00:00,22:00:00,600,0
148,05:00:00,22:00:00,2400,0
149,05:00:00,22:00:00,2400,0
133,05:00:00,22:00:00,3600,0
132,05:00:00,22:00:00,3600,0
131,05:00:00,22:00:00,1200,0
130,05:00:00,22:00:00,1200,0
137,05:00:00,22:00:00,600,0
136,05:00:00,22:00:00,600,0
135,05:00:00,22:00:00,300,0
134,05:00:00,22:00:00,300,0
494,05:00:00,22:00:00,900,0
495,05:00:00,22:00:00,900,0
139,05:00:00,22:00:00,2700,0
138,05:00:00,22:00:00,2700,0
490,05:00:00,22:00:00,1200,0
491,05:00:00,22:00:00,1200,0
492,05:00:00,22:00:00,1800,0
493,05:00:00,22:00:00,1800,0
24,05:00:00,22:00:00,2700,0
25,05:00:00,22:00:00,2700,0
26,05:00:00,22:00:00,3000,0
27,05:00:00,22:00:00,3000,0
20,05:00:00,22:00:00,1800,0
21,05:00:00,22:00:00,1800,0
22,05:00:00,22:00:00,3600,0
23,05:00:00,22:00:00,3600,0
28,05:00:00,22:00:00,300,0
29,05:00:00,22:00:00,300,0
407,05:00:00,22:00:00,900,0
406,05:00:00,22:00:00,900,0
405,05:00:00,22:00:00,480,0
404,05:00:00,22:00:00,480,0
403,05:00:00,22:00:00,900,0
402,05:00:00,22:00:00,900,0
401,05:00:00,22:00:00,600,0
400,05:00:00,22:00:00,600,0
409,05:00:00,22:00:00,1200,0
408,05:00:00,22:00:00,1200,0
379,05:00:00,22:00:00,900,0
378,05:00:00,22:00:00,900,0
371,05:00:00,22:00:00,600,0
370,05:00:00,22:00:00,600,0
373,05:00:00,22:00:00,600,0
372,05:00:00,22:00:00,600,0
375,05:00:00,22:00:00,120,0
374,05:00:00,22:00:00,120,0
377,05:00:00,22:00:00,900,0
376,05:00:00,22:00:00,900,0
393,05:00:00,22:00:00,600,0
392,05:00:00,22:00:00,600,0
88,05:00:00,22:00:00,900,0
89,05:00:00,22:00:00,900,0
397,05:00:00,22:00:00,480,0
396,05:00:00,22:00:00,480,0
395,05:00:00,22:00:00,600,0
394,05:00:00,22:00:00,600,0
82,05:00:00,22:00:00,420,0
83,05:00:00,22:00:00,420,0
80,05:00:00,22:00:00,300,0
81,05:00:00,22:00:00,300,0
86,05:00:00,22:00:00,300,0
87,05:00:00,22:00:00,300,0
84,05:00:00,22:00:00,300,0
85,05:00:00,22:00:00,300,0
7,05:00:00,22:00:00,1800,0
245,05:00:00,22:00:00,360,0
244,05:00:00,22:00:00,360,0
247,05:00:00,22:00:00,900,0
246,05:00:00,22:00:00,900,0
241,05:00:00,22:00:00,1800,0
240,05:00:00,22:00:00,1800,0
243,05:00:00,22:00:00,3600,0
242,05:00:00,22:00:00,3600,0
249,05:00:00,22:00:00,540,0
248,05:00:00,22:00:00,540,0
519,05:00:00,22:00:00,1200,0
518,05:00:00,22:00:00,1200,0
511,05:00:00,22:00:00,300,0
510,05:00:00,22:00:00,300,0
513,05:00:00,22:00:00,600,0
512,05:00:00,22:00:00,600,0
515,05:00:00,22:00:00,900,0
514,05:00:00,22:00:00,900,0
517,05:00:00,22:00:00,600,0
516,05:00:00,22:00:00,600,0
458,05:00:00,22:00:00,2400,0
459,05:00:00,22:00:00,2400,0
450,05:00:00,22:00:00,3000,0
451,05:00:00,22:00:00,3000,0
452,05:00:00,22:00:00,900,0
453,05:00:00,22:00:00,900,0
454,05:00:00,22:00:00,600,0
455,05:00:00,22:00:00,600,0
456,05:00:00,22:00:00,600,0
457,05:00:00,22:00:00,600,0
179,05:00:00,22:00:00,600,0
178,05:00:00,22:00:00,600,0
177,05:00:00,22:00:00,600,0
176,05:00:00,22:00:00,600,0
175,05:00:00,22:00:00,1500,0
174,05:00:00,22:00:00,1500,0
173,05:00:00,22:00:00,420,0
172,05:00:00,22:00:00,420,0
171,05:00:00,22:00:00,600,0
170,05:00:00,22:00:00,600,0
253,05:00:00,22:00:00,2700,0
182,05:00:00,22:00:00,900,0
183,05:00:00,22:00:00,900,0
180,05:00:00,22:00:00,300,0
181,05:00:00,22:00:00,300,0
186,05:00:00,22:00:00,900,0
187,05:00:00,22:00:00,900,0
184,05:00:00,22:00:00,3600,0
185,05:00:00,22:00:00,3600,0
188,05:00:00,22:00:00,600,0
189,05:00:00,22:00:00,600,0
11,05:00:00,22:00:00,1200,0
10,05:00:00,22:00:00,1200,0
13,05:00:00,22:00:00,1200,0
12,05:00:00,22:00:00,1200,0
15,05:00:00,22:00:00,600,0
14,05:00:00,22:00:00,600,0
17,05:00:00,22:00:00,900,0
16,05:00:00,22:00:00,900,0
19,05:00:00,22:00:00,1500,0
18,05:00:00,22:00:00,1500,0
62,05:00:00,22:00:00,1500,0
322,05:00:00,22:00:00,1200,0
323,05:00:00,22:00:00,1200,0
320,05:00:00,22:00:00,300,0
321,05:00:00,22:00:00,300,0
326,05:00:00,22:00:00,3600,0
327,05:00:00,22:00:00,3600,0
324,05:00:00,22:00:00,900,0
325,05:00:00,22:00:00,900,0
328,05:00:00,22:00:00,1200,0
329,05:00:00,22:00:00,1200,0
201,05:00:00,22:00:00,600,0
200,05:00:00,22:00:00,600,0
203,05:00:00,22:00:00,300,0
202,05:00:00,22:00:00,300,0
205,05:00:00,22:00:00,420,0
204,05:00:00,22:00:00,420,0
207,05:00:00,22:00:00,600,0
206,05:00:00,22:00:00,600,0
209,05:00:00,22:00:00,180,0
208,05:00:00,22:00:00,180,0
77,05:00:00,22:00:00,300,0
76,05:00:00,22:00:00,300,0
75,05:00:00,22:00:00,300,0
74,05:00:00,22:00:00,300,0
73,05:00:00,22:00:00,600,0
72,05:00:00,22:00:00,600,0
71,05:00:00,22:00:00,900,0
70,05:00:00,22:00:00,900,0
79,05:00:00,22:00:00,300,0
78,05:00:00,22:00:00,300,0
2,05:00:00,22:00:00,1200,0
542,05:00:00,22:00:00,900,0
543,05:00:00,22:00:00,900,0
540,05:00:00,22:00:00,600,0
541,05:00:00,22:00:00,600,0
546,05:00:00,22:00:00,1200,0
547,05:00:00,22:00:00,1200,0
544,05:00:00,22:00:00,2400,0
545,05:00:00,22:00:00,2400,0
8,05:00:00,22:00:00,1800,0
548,05:00:00,22:00:00,600,0
549,05:00:00,22:00:00,600,0
68,05:00:00,22:00:00,1200,0
120,05:00:00,22:00:00,600,0
121,05:00:00,22:00:00,600,0
122,05:00:00,22:00:00,900,0
123,05:00:00,22:00:00,900,0
124,05:00:00,22:00:00,300,0
125,05:00:00,22:00:00,300,0
126,05:00:00,22:00:00,1200,0
127,05:00:00,22:00:00,1200,0
128,05:00:00,22:00:00,1500,0
129,05:00:00,22:00:00,1500,0
414,05:00:00,22:00:00,900,0
415,05:00:00,22:00:00,900,0
416,05:00:00,22:00:00,600,0
417,05:00:00,22:00:00,600,0
410,05:00:00,22:00:00,300,0
